EmployeeID,DepartmentCode,JobLevel,ManagerID,YearsAtCompany,MonthlyHoursWorked,ProjectsCompleted,TrainingHoursCompleted,PerformanceScore,AbsenceDays,OvertimeHours,SalaryBand,EngagementScore
5117,5,4,14,5.6,124,17,6.0,3.3,21,8.7,2,8.0
5331,6,5,14,13.1,132,18,44.0,1.6,18,17.0,8,9.0
5127,6,5,16,4.8,130,1,29.0,4.9,24,20.8,4,6.0
5380,6,3,6,14.6,137,14,14.0,2.8,15,30.4,2,7.0
5050,6,1,14,12.7,192,2,13.0,5.0,5,27.9,4,7.0
5052,4,5,6,0.9,140,7,55.0,1.7,10,26.2,4,10.0
5455,5,3,10,3.2,121,15,18.0,4.6,15,25.7,1,9.0
5539,2,2,3,1.8,135,11,17.0,1.9,11,3.0,8,7.0
5180,1,5,20,13.8,128,3,39.0,2.2,12,21.9,2,6.0
5464,2,5,9,4.7,149,5,48.0,1.9,17,10.1,1,2.0
5211,5,3,17,0.9,152,9,4.0,1.2,9,37.6,3,10.0
5097,5,3,6,11.6,168,2,60.0,4.1,4,5.4,6,3.0
5513,2,3,11,7.7,154,0,55.0,2.7,16,7.6,3,9.0
5053,6,4,15,12.4,192,19,11.0,1.7,12,15.1,5,1.0
5235,6,2,12,5.4,163,14,3.0,2.6,25,8.9,7,4.0
5245,1,1,1,3.5,131,6,27.0,3.9,13,1.3,1,4.0
5412,6,1,20,6.1,161,0,34.0,4.5,6,7.0,7,1.0
5393,1,5,15,0.9,180,15,17.0,1.9,7,5.7,4,10.0
5369,3,4,4,2.0,132,12,34.0,2.8,3,4.5,5,7.0
5160,2,4,5,0.3,196,19,60.0,2.5,20,39.0,3,1.0
5357,1,4,15,13.9,195,9,39.0,3.3,13,35.2,7,6.0
5452,3,3,4,2.4,124,11,45.0,4.1,23,12.3,2,1.0
5387,5,2,11,13.1,173,9,15.0,4.9,16,30.6,6,9.0
5306,5,3,17,5.6,138,1,56.0,3.9,21,19.3,2,10.0
5103,1,1,1,8.6,186,10,11.0,2.8,17,16.4,2,9.0
5027,2,4,7,2.1,124,0,49.0,3.7,18,11.9,8,8.0
5219,4,3,19,2.2,200,0,2.0,4.8,25,27.2,1,3.0
5439,1,2,6,6.0,186,13,18.0,3.2,21,26.3,1,5.0
5257,6,3,15,3.7,999,17,41.0,4.3,6,27.7,6,3.0
5346,4,2,15,10.2,171,0,37.0,1.2,15,25.2,1,10.0
5128,4,3,5,5.8,122,9,21.0,4.9,12,21.9,5,8.0
5399,1,3,2,14.9,163,20,7.0,2.2,18,23.5,5,3.0
5008,6,1,9,5.7,136,0,16.0,3.4,20,10.0,7,7.0
5114,1,3,18,4.1,129,15,18.0,1.8,16,21.7,1,1.0
5049,6,3,9,3.1,142,17,33.0,4.8,5,3.8,3,8.0
5417,3,5,1,3.0,197,16,6.0,2.2,3,33.6,4,8.0
5210,2,2,18,9.8,199,20,25.0,3.0,2,38.0,2,9.0
5500,1,1,12,8.4,136,13,52.0,1.3,22,28.0,7,4.0
5456,3,2,20,8.6,184,18,52.0,3.0,21,39.3,6,4.0
5224,1,2,3,12.0,138,20,56.0,1.4,7,10.3,8,9.0
5014,2,4,8,5.6,197,6,49.0,2.8,20,30.3,5,8.0
5548,3,1,9,10.4,145,10,13.0,2.2,19,5.0,1,5.0
5152,4,5,16,6.2,200,12,55.0,4.6,20,4.4,6,
5414,5,3,13,3.5,151,8,18.0,1.2,18,16.3,5,6.0
5400,1,1,13,13.6,148,17,7.0,4.9,13,10.5,3,4.0
5288,6,4,5,0.2,173,2,21.0,4.9,10,35.4,3,3.0
5069,2,1,13,5.3,139,14,49.0,3.3,9,22.0,8,6.0
5304,4,4,18,12.4,169,18,18.0,2.3,12,14.1,3,3.0
5096,3,5,4,13.7,160,20,7.0,1.6,19,38.1,7,1.0
5543,3,3,15,5.7,175,19,50.0,3.3,15,7.7,1,6.0
5233,4,1,4,14.3,185,0,1.0,3.5,1,12.3,2,9.0
5065,3,3,9,5.8,146,19,11.0,4.5,10,34.9,1,4.0
5266,2,5,20,0.5,162,12,45.0,3.8,23,7.9,1,5.0
5137,5,5,15,10.8,123,20,,2.6,19,6.8,3,9.0
5256,5,4,10,7.3,168,5,33.0,1.9,17,13.2,3,1.0
5348,2,5,11,3.4,172,19,40.0,3.2,1,21.5,2,6.0
5090,5,1,12,1.3,191,12,49.0,4.6,20,11.6,8,10.0
5381,2,3,20,3.1,124,10,30.0,3.8,18,23.6,7,10.0
5101,4,4,1,9.8,148,6,14.0,2.8,22,29.7,2,4.0
5099,6,1,12,14.9,143,10,26.0,5.0,6,17.8,3,4.0
5352,1,1,14,12.6,191,11,51.0,3.1,16,9.7,7,2.0
5084,4,3,2,6.0,130,2,15.0,1.1,4,32.4,2,8.0
5120,4,5,8,1.9,143,3,29.0,1.1,23,19.4,5,5.0
5040,2,4,6,5.7,157,4,33.0,2.5,4,28.5,2,8.0
5182,3,4,18,13.4,159,7,22.0,4.6,17,16.4,3,5.0
5242,5,4,17,7.1,131,2,42.0,2.8,18,29.3,8,8.0
5497,5,3,9,0.5,130,15,47.0,4.1,16,17.4,8,1.0
5019,1,3,1,2.8,171,17,15.0,1.9,25,33.0,8,10.0
5029,3,1,7,11.2,151,20,8.0,1.6,8,4.2,5,9.0
5264,2,3,13,11.0,195,7,60.0,3.7,7,18.4,3,6.0
5151,5,1,6,2.1,149,11,35.0,4.9,7,25.1,3,8.0
5133,4,1,9,13.3,155,4,8.0,3.8,17,14.8,6,2.0
5451,1,4,11,7.3,124,19,56.0,4.5,9,8.7,3,6.0
5174,2,3,7,8.8,121,10,35.0,3.6,24,22.2,8,2.0
5293,5,2,9,7.5,134,7,35.0,3.5,24,31.3,3,4.0
5477,4,2,20,14.0,156,15,7.0,1.4,11,34.4,6,9.0
5282,3,1,17,7.5,197,18,54.0,2.0,9,3.2,2,7.0
5032,5,5,10,11.2,164,15,9.0,1.7,25,10.8,6,4.0
5448,3,5,11,3.6,180,3,56.0,4.7,23,7.1,7,9.0
5469,6,2,11,9.9,143,13,20.0,4.4,19,8.3,6,4.0
5528,3,1,1,3.6,172,18,48.0,1.0,7,37.6,5,7.0
5006,6,4,6,0.9,156,1,54.0,2.0,9,1.4,4,7.0
5471,1,1,12,8.2,186,20,52.0,3.2,5,0.5,4,6.0
5156,3,1,2,3.7,179,17,12.0,3.4,16,4.9,1,10.0
5462,4,4,20,10.4,132,8,54.0,1.1,16,24.0,5,6.0
5092,2,3,15,14.1,133,7,53.0,4.2,5,2.2,4,10.0
5249,5,4,19,13.0,153,5,12.0,2.3,20,8.1,4,9.0
5334,1,3,5,1.4,157,19,51.0,3.5,21,22.5,5,8.0
5216,1,2,1,10.7,168,9,44.0,4.6,14,4.0,4,9.0
5223,6,3,7,8.2,168,10,27.0,4.9,10,16.8,4,9.0
5170,5,3,18,5.5,175,12,43.0,4.0,20,23.4,4,8.0
5392,3,2,8,2.7,128,2,18.0,2.9,0,16.8,8,1.0
5340,6,1,1,7.5,159,3,20.0,2.3,13,9.3,2,10.0
5073,4,3,15,14.1,125,13,14.0,4.9,4,12.2,8,2.0
5458,3,5,19,8.5,999,19,38.0,2.2,17,7.5,4,10.0
5466,6,2,13,7.4,184,16,33.0,4.2,5,6.0,4,9.0
5463,5,2,8,6.2,173,20,45.0,3.2,15,23.6,6,6.0
5386,2,2,3,6.7,128,20,45.0,3.5,15,11.7,2,
5268,4,3,3,13.0,186,14,36.0,1.5,0,15.9,6,9.0
5307,3,2,10,6.6,134,3,46.0,2.1,21,16.1,8,5.0
5244,4,2,12,13.3,155,7,40.0,4.2,7,16.7,6,7.0
5148,4,5,13,9.0,148,6,45.0,1.4,4,3.2,6,7.0
5424,4,4,8,10.2,153,5,37.0,4.5,9,22.6,8,6.0
5536,5,1,2,1.4,158,11,40.0,3.9,1,20.1,6,6.0
5207,1,5,17,10.6,161,3,2.0,2.8,21,24.1,8,7.0
5096,3,5,4,13.7,160,20,7.0,1.6,19,38.1,7,1.0
5517,5,5,3,0.5,190,13,30.0,2.2,3,19.1,1,5.0
5227,5,2,9,13.6,144,16,22.0,1.2,7,23.8,2,4.0
5339,6,5,1,13.8,165,16,54.0,4.2,7,36.8,7,7.0
5349,5,3,20,9.2,122,10,2.0,1.2,16,1.3,4,7.0
5100,3,5,20,14.3,165,11,30.0,4.7,25,36.5,7,8.0
5291,4,4,3,3.1,162,10,6.0,3.1,16,27.9,1,1.0
5157,2,2,9,8.7,165,12,38.0,2.7,13,13.2,5,2.0
5342,3,1,1,1.2,120,15,15.0,2.0,23,12.8,4,4.0
5005,2,1,16,10.1,150,13,58.0,5.0,23,23.6,6,9.0
5313,3,3,2,9.2,161,6,22.0,4.2,7,21.9,7,9.0
5272,5,1,10,4.5,123,0,1.0,1.3,18,20.9,5,2.0
5076,2,1,3,14.6,166,2,27.0,1.3,25,14.9,5,4.0
5540,4,1,6,4.5,133,8,11.0,,4,3.7,2,9.0
