OrderID,RegionCode,CategoryCode,ProductCode,SalesRepID,Month,Year,Quantity,UnitPrice,DiscountPct,ShippingDays,CustomerAge,Rating
100554,2,1,8,4,6,2024,4.0,53.91,10,2,38,4.0
100243,3,1,23,4,7,2024,8.0,190.98,0,12,66,3.0
100248,1,2,11,3,9,2024,6.0,99.17,0,3,52,3.0
100531,5,4,6,1,3,2024,1.0,189.33,0,1,59,3.0
100156,2,5,22,1,11,2024,1.0,116.61,5,7,67,4.0
100182,1,5,30,3,12,2024,6.0,403.56,20,5,30,1.0
100231,3,1,29,2,1,2024,2.0,64.63,5,3,51,4.0
100378,2,2,29,5,8,2024,3.0,397.88,15,12,59,1.0
100399,2,1,8,4,7,2024,6.0,124.53,0,14,48,5.0
100223,5,3,5,6,3,2024,5.0,9.47,5,2,59,3.0
100054,1,2,16,2,6,2024,11.0,325.35,0,5,32,4.0
100360,5,1,15,2,2,2024,10.0,286.77,0,12,26,4.0
100338,1,5,18,1,3,2024,7.0,,0,1,22,1.0
100492,5,3,21,6,1,2024,7.0,116.07,0,2,49,3.0
100288,1,3,1,4,1,2024,12.0,261.05,0,14,38,2.0
100190,2,1,17,6,3,2024,12.0,225.29,15,6,62,3.0
100475,5,5,25,4,4,2024,6.0,309.2,0,13,67,1.0
100370,5,1,2,5,7,2024,12.0,241.02,10,11,63,4.0
100135,4,3,28,5,6,2024,2.0,188.98,5,13,23,2.0
100536,3,3,23,6,12,2024,9.0,55.13,0,15,21,3.0
100201,1,2,22,5,4,2024,10.0,189.14,10,7,41,5.0
100375,1,2,18,1,4,2024,9.0,461.36,0,13,27,4.0
100194,3,2,3,3,5,2024,3.0,374.99,0,13,43,2.0
100040,1,5,7,5,2,2024,5.0,489.17,5,1,36,4.0
100534,5,5,28,4,6,2024,,285.87,10,2,27,3.0
100431,2,4,20,3,4,2024,5.0,278.76,0,13,21,3.0
100484,5,1,4,3,8,2024,8.0,36.01,5,14,45,3.0
100570,2,1,18,6,5,2024,5.0,185.98,20,4,48,1.0
100024,4,2,22,2,7,2024,4.0,84.93,5,9,43,3.0
100301,2,1,13,1,4,2024,10.0,395.09,20,4,58,
100184,1,2,10,1,7,2024,2.0,139.09,10,12,32,1.0
100588,4,3,15,5,4,2024,3.0,132.03,15,14,25,2.0
100476,5,3,30,2,2,2024,6.0,,0,13,49,1.0
100581,3,3,24,2,3,2024,7.0,249.14,20,14,18,2.0
100499,1,3,9,6,12,2024,9.0,209.67,15,15,47,3.0
100475,5,5,25,4,4,2024,6.0,309.2,0,13,67,1.0
